Timestamp,Jenis Beasiswa ,Tingkat Pendidikan yang Dituju,Negara Tujuan Kuliah,Bidang Studi yang dipilih saat mendaftar,Mendaftar dengan menggunakan LoA sesuai ketentuan LPDP ,Apakah anda dinyatakan Lulus Seleksi Substansi Akademik Pada gelombang I Tahun 2021?,Jumlah Jawaban Benar pada Tes Penalaran Verbal,Jumlah Jawaban Benar pada Tes Kuantitatif,Jumlah Jawaban Benar pada Tes Pemecahan Masalah,[optional] Kampus/universitas tujuan saat ini (pilihan 1)
6/24/2021 15:54:15,Targeted,S2,Dalam negeri,TRP,Tidak,Ya,10,12,6,Universitas Indonesia
6/24/2021 15:54:22,Reguler,S2,Luar Negeri,ENE,"Ya, dengan Loa",Ya,17,22,8,UCL
6/24/2021 15:54:54,Targeted,S2,Luar Negeri,ELE,"Ya, dengan Loa",Ya,16,18,7,KTH Sweden
6/24/2021 15:56:06,Reguler,S2,Dalam negeri,LIN,Tidak,Tidak,15,12,4,UGM
6/24/2021 15:56:28,Afirmasi,S2,Luar Negeri,LIN,Tidak,Ya,16,9,7,University of Birmingham
6/24/2021 15:56:57,Targeted,S2,Luar Negeri,Dev,"Ya, dengan Loa",Ya,17,11,4,KU leuven
6/24/2021 15:56:59,Afirmasi,S2,Dalam negeri,HUM,Tidak,Ya,17,16,4,Universitas Gadjah Mada
6/24/2021 15:57:21,Reguler,S2,Dalam negeri,TRP,Tidak,Ya,14,19,4,
6/24/2021 15:57:32,Reguler,S2,Luar Negeri,AFR,"Ya, dengan Loa",Ya,13,16,7,Uni of Reading
6/24/2021 15:57:33,Targeted,S3,Luar Negeri,BUS,Tidak,Ya,16,18,8,University of Auckland
6/24/2021 15:57:39,Reguler,S2,Luar Negeri,WAT,"Ya, dengan Loa",Ya,20,15,7,IHE Delft
6/24/2021 15:57:50,Reguler,S2,Luar Negeri,MAR,"Ya, dengan Loa",Ya,14,14,7,University of Michigan
6/24/2021 15:58:00,Afirmasi,S2,Dalam negeri,SOS,Tidak,Ya,14,13,5,Universitas Indonesia
6/24/2021 15:58:20,Reguler,S2,Luar Negeri,HOS,"Ya, dengan Loa",Tidak,13,13,6,
6/24/2021 15:58:22,Targeted,S2,Luar Negeri,STA,"Ya, dengan Loa",Ya,12,17,5,
6/24/2021 15:58:55,Targeted,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,13,12,6,Universitas Airlangga
6/24/2021 15:59:04,Afirmasi,S2,Luar Negeri,EDU,Tidak,Ya,12,9,7,Durham University
6/24/2021 15:59:16,Targeted,S2,Luar Negeri,DEV,"Ya, dengan Loa",Ya,13,14,3,
6/24/2021 15:59:19,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,16,22,7,UNY
6/24/2021 15:59:21,Reguler,S2,Luar Negeri,BUS,Tidak,Ya,15,21,6,
6/24/2021 15:59:27,Targeted,S2,Luar Negeri,ICT,"Ya, dengan Loa",Ya,15,16,6,New York University
6/24/2021 15:59:29,Targeted,S3,Dalam negeri,TRP,Tidak,Ya,15,8,8,UGM
6/24/2021 15:59:50,Targeted,S2,Luar Negeri,LAW,Tidak,Ya,14,15,7,Penn State University
6/24/2021 15:59:52,Targeted,S2,Luar Negeri,SGY,"Ya, dengan Loa",Ya,13,14,8,York University 
6/24/2021 15:59:54,Targeted,S3,Luar Negeri,ACF,Tidak,Ya,17,15,9,University of Birmingham
6/24/2021 16:00:04,Targeted,S2,Luar Negeri,ICT,"Ya, dengan Loa",Ya,18,21,6,University of Glasgow
6/24/2021 16:00:11,Reguler,S2,Luar Negeri,BUS,"Ya, dengan Loa",Tidak,13,15,4,University of Edinburgh
6/24/2021 16:00:19,Reguler,S2,Dalam negeri,SOS,Tidak,Ya,16,21,8,UGM
6/24/2021 16:00:30,Afirmasi,S2,Dalam negeri,IPA,"Ya, dengan Loa",Ya,17,13,7,IPB
6/24/2021 16:00:38,Targeted,S2,Luar Negeri,PHA,Tidak,Ya,12,15,7,Titech
6/24/2021 16:00:47,Targeted,S2,Dalam negeri,TRP,Tidak,Ya,17,14,9,
6/24/2021 16:02:04,Reguler,S2,Dalam negeri,TRP,Tidak,Ya,15,17,9,UNY
6/24/2021 16:02:08,Afirmasi,S2,Dalam negeri,FOR,Tidak,Ya,15,20,4,Universitas Gadjah Mada
6/24/2021 16:02:14,Reguler,S2,Dalam negeri,BUS,Tidak,Ya,15,15,6,UPI
6/24/2021 16:02:26,Reguler,S2,Luar Negeri,ENE,Tidak,Ya,15,17,5,TU Delft
6/24/2021 16:02:34,Reguler,S2,Luar Negeri,COM,"Ya, dengan Loa",Tidak,13,15,4,Lund University
6/24/2021 16:02:50,Reguler,S2,Luar Negeri,ELE,Tidak,Ya,15,21,6,
6/24/2021 16:02:54,Reguler,S2,Luar Negeri,ICT,"Ya, dengan Loa",Ya,14,19,8,University of Edinburgh
6/24/2021 16:03:22,Targeted,S2,Luar Negeri,DEF,"Ya, dengan Loa",Ya,10,16,7,Univ of Leeds
6/24/2021 16:03:42,Targeted,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,13,12,6,Universitas Airlangga
6/24/2021 16:04:04,Reguler,S2,Luar Negeri,PUB,Tidak,Ya,17,15,4,LSE
6/24/2021 16:04:11,Reguler,S2,Dalam negeri,TRP,Tidak,Ya,14,20,4,Universitas Gadjah Mada
6/24/2021 16:04:13,Targeted,S2,Dalam negeri,FOR,Tidak,Ya,18,21,8,ITS
6/24/2021 16:05:06,Reguler,S2,Dalam negeri,SOS,Tidak,Ya,19,14,7,UI
6/24/2021 16:05:08,Targeted,S2,Luar Negeri,DEV,"Ya, dengan Loa",Ya,18,13,8,University of Sussex
6/24/2021 16:05:58,Targeted,S2,Dalam negeri,SOs,Tidak,Ya,18,20,4,UGM
6/24/2021 16:05:59,Reguler,S2,Dalam negeri,TRP,Tidak,Ya,14,20,4,ITB
6/24/2021 16:06:11,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,16,16,3,UGM
6/24/2021 16:06:34,Targeted,S2,Luar Negeri,ATM,Tidak,Ya,15,16,2,Pennsylvania State University
6/24/2021 16:07:03,Reguler,S2,Luar Negeri,PUB,Tidak,Ya,15,16,6,University of Melbourne
6/24/2021 16:07:18,Reguler,S2,Luar Negeri,EDU,Tidak,Ya,17,16,4,Columbia University
6/24/2021 16:07:42,Reguler,S3,Luar Negeri,ENV,Tidak,Ya,18,13,8,
6/24/2021 16:08:08,Reguler,S2,Dalam negeri,SOS,Tidak,Tidak,16,7,5,
6/24/2021 16:08:20,Reguler,S2,Luar Negeri,ENG,"Ya, dengan Loa",Tidak,15,12,4,University of Adelaide 
6/24/2021 16:08:54,Afirmasi,S2,Dalam negeri,-,"Ya, dengan Loa",Ya,13,9,6,Universitas Pendidikan Indonesia
6/24/2021 16:10:11,Reguler,S2,Luar Negeri,CBS,"Ya, dengan Loa",Ya,12,18,9,unsw
6/24/2021 16:10:11,Reguler,S3,Luar Negeri,CHE,Tidak,Ya,16,20,9,University of Birmingham 
6/24/2021 16:10:42,Afirmasi,S2,Dalam negeri,FOR,Tidak,Ya,12,16,5,UGM
6/24/2021 16:10:55,Reguler,S3,Dalam negeri,SOS,Tidak,Tidak,15,7,8,
6/24/2021 16:11:12,Reguler,S2,Luar Negeri,KES,"Ya, dengan Loa",Tidak,14,18,3,UCL
6/24/2021 16:11:25,Afirmasi,S3,Luar Negeri,EDU,Tidak,Ya,13,8,6,Georgetown University 
6/24/2021 16:11:31,Reguler,S2,Dalam negeri,IPA,Tidak,Ya,13,19,4,ITB
6/24/2021 16:11:54,Targeted,S2,Dalam negeri,BUS,Tidak,Ya,12,12,6,Universitas Gadjah Mada
6/24/2021 16:12:00,Reguler,S2,Luar Negeri,DEV,Tidak,Ya,18,16,8,
6/24/2021 16:12:29,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,16,7,5,Ugm
6/24/2021 16:12:35,Targeted,S2,Luar Negeri,ECT,Tidak,Ya,11,13,7,Sweden
6/24/2021 16:12:45,Afirmasi,S2,Luar Negeri,DEV,Tidak,Ya,13,11,6,Wageningen University and Research
6/24/2021 16:12:52,Reguler,S2,Dalam negeri,FOR,Tidak,Ya,14,20,5,UGM
6/24/2021 16:13:09,Reguler,S3,Luar Negeri,ELE,Tidak,Ya,16,20,9,University of Tokyo
6/24/2021 16:13:38,Reguler,S2,Luar Negeri,DEV,Tidak,Ya,16,18,12,MIT
6/24/2021 16:13:41,Targeted,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,16,14,4,UI
6/24/2021 16:14:23,Reguler,S2,Luar Negeri,AER,Tidak,Ya,15,20,4,ICL
6/24/2021 16:14:23,Targeted,S2,Dalam negeri,TRP,Tidak,Ya,17,15,8,UGM
6/24/2021 16:15:01,Reguler,S2,Luar Negeri,BUS,Tidak,Tidak,9,7,5,INSEAD
6/24/2021 16:15:13,Reguler,S2,Luar Negeri,ICT,Tidak,Ya,17,13,7,
6/24/2021 16:15:49,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,16,13,4,UI
6/24/2021 16:16:27,Targeted,S2,Luar Negeri,PUB,Tidak,Ya,13,14,4,
6/24/2021 16:16:29,Reguler,S2,Dalam negeri,TRP,"Ya, dengan Loa",Tidak,14,17,4,Universitas Gadjah Mada
6/24/2021 16:17:23,Targeted,S2,Luar Negeri,ATM,"Ya, dengan Loa",Ya,13,15,9,University of Helsinki
6/24/2021 16:17:25,Afirmasi,S2,Dalam negeri,BUS,Tidak,Ya,11,12,6,Universitas Indonesia
6/24/2021 16:17:46,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,14,18,5,Ugm
6/24/2021 16:18:04,Reguler,S2,Luar Negeri,ARC,Tidak,Ya,17,19,5,
6/24/2021 16:18:08,Afirmasi,S2,Luar Negeri,STA,Tidak,Ya,17,18,10,University of Twente
6/24/2021 16:18:12,Reguler,S2,Luar Negeri,BIO,"Ya, dengan Loa",Ya,15,16,7,Wageningen University and Research 
